Mask,Index,Name,R,G,B,A
aparc+aseg,0,Unknown,0,0,0,0
aparc+aseg,1,Left-Cerebral-Exterior,70,130,180,255
aparc+aseg,2,Left-Cerebral-White-Matter,245,245,245,255
aparc+aseg,3,Left-Cerebral-Cortex,205,62,78,255
aparc+aseg,4,Left-Lateral-Ventricle,120,18,134,255
aparc+aseg,5,Left-Inf-Lat-Vent,196,58,250,255
aparc+aseg,6,Left-Cerebellum-Exterior,0,148,0,255
aparc+aseg,7,Left-Cerebellum-White-Matter,220,248,164,255
aparc+aseg,8,Left-Cerebellum-Cortex,230,148,34,255
aparc+aseg,9,Left-Thalamus-unused,0,118,14,255
aparc+aseg,10,Left-Thalamus,0,118,14,255
aparc+aseg,11,Left-Caudate,122,186,220,255
aparc+aseg,12,Left-Putamen,236,13,176,255
aparc+aseg,13,Left-Pallidum,12,48,255,255
aparc+aseg,14,3rd-Ventricle,204,182,142,255
aparc+aseg,15,4th-Ventricle,42,204,164,255
aparc+aseg,16,Brain-Stem,119,159,176,255
aparc+aseg,17,Left-Hippocampus,220,216,20,255
aparc+aseg,18,Left-Amygdala,103,255,255,255
aparc+aseg,19,Left-Insula,80,196,98,255
aparc+aseg,20,Left-Operculum,60,58,210,255
aparc+aseg,21,Line-1,60,58,210,255
aparc+aseg,22,Line-2,60,58,210,255
aparc+aseg,23,Line-3,60,58,210,255
aparc+aseg,24,CSF,60,60,60,255
aparc+aseg,25,Left-Lesion,255,165,0,255
aparc+aseg,26,Left-Accumbens-area,255,165,0,255
aparc+aseg,27,Left-Substancia-Nigra,0,255,127,255
aparc+aseg,28,Left-VentralDC,165,42,42,255
aparc+aseg,29,Left-undetermined,135,206,235,255
aparc+aseg,30,Left-vessel,160,32,240,255
aparc+aseg,31,Left-choroid-plexus,0,200,200,255
aparc+aseg,32,Left-F3orb,100,50,100,255
aparc+aseg,33,Left-lOg,135,50,74,255
aparc+aseg,34,Left-aOg,122,135,50,255
aparc+aseg,35,Left-mOg,51,50,135,255
aparc+aseg,36,Left-pOg,74,155,60,255
aparc+aseg,37,Left-Stellate,120,62,43,255
aparc+aseg,38,Left-Porg,74,155,60,255
aparc+aseg,39,Left-Aorg,122,135,50,255
aparc+aseg,40,Right-Cerebral-Exterior,70,130,180,255
aparc+aseg,41,Right-Cerebral-White-Matter,245,245,245,255
aparc+aseg,42,Right-Cerebral-Cortex,205,62,78,255
aparc+aseg,43,Right-Lateral-Ventricle,120,18,134,255
aparc+aseg,44,Right-Inf-Lat-Vent,196,58,250,255
aparc+aseg,45,Right-Cerebellum-Exterior,0,148,0,255
aparc+aseg,46,Right-Cerebellum-White-Matter,220,248,164,255
aparc+aseg,47,Right-Cerebellum-Cortex,230,148,34,255
aparc+aseg,48,Right-Thalamus-unused,0,118,14,255
aparc+aseg,49,Right-Thalamus,0,118,14,255
aparc+aseg,50,Right-Caudate,122,186,220,255
aparc+aseg,51,Right-Putamen,236,13,176,255
aparc+aseg,52,Right-Pallidum,13,48,255,255
aparc+aseg,53,Right-Hippocampus,220,216,20,255
aparc+aseg,54,Right-Amygdala,103,255,255,255
aparc+aseg,55,Right-Insula,80,196,98,255
aparc+aseg,56,Right-Operculum,60,58,210,255
aparc+aseg,57,Right-Lesion,255,165,0,255
aparc+aseg,58,Right-Accumbens-area,255,165,0,255
aparc+aseg,59,Right-Substancia-Nigra,0,255,127,255
aparc+aseg,60,Right-VentralDC,165,42,42,255
aparc+aseg,61,Right-undetermined,135,206,235,255
aparc+aseg,62,Right-vessel,160,32,240,255
aparc+aseg,63,Right-choroid-plexus,0,200,221,255
aparc+aseg,64,Right-F3orb,100,50,100,255
aparc+aseg,65,Right-lOg,135,50,74,255
aparc+aseg,66,Right-aOg,122,135,50,255
aparc+aseg,67,Right-mOg,51,50,135,255
aparc+aseg,68,Right-pOg,74,155,60,255
aparc+aseg,69,Right-Stellate,120,62,43,255
aparc+aseg,70,Right-Porg,74,155,60,255
aparc+aseg,71,Right-Aorg,122,135,50,255
aparc+aseg,72,5th-Ventricle,120,190,150,255
aparc+aseg,73,Left-Interior,122,135,50,255
aparc+aseg,74,Right-Interior,122,135,50,255
aparc+aseg,77,WM-hypointensities,200,70,255,255
aparc+aseg,78,Left-WM-hypointensities,255,148,10,255
aparc+aseg,79,Right-WM-hypointensities,255,148,10,255
aparc+aseg,80,non-WM-hypointensities,164,108,226,255
aparc+aseg,81,Left-non-WM-hypointensities,164,108,226,255
aparc+aseg,82,Right-non-WM-hypointensities,164,108,226,255
aparc+aseg,83,Left-F1,255,218,185,255
aparc+aseg,84,Right-F1,255,218,185,255
aparc+aseg,85,Optic-Chiasm,234,169,30,255
aparc+aseg,192,Corpus_Callosum,250,255,50,255
aparc+aseg,86,Left_future_WMSA,200,120,255,255
aparc+aseg,87,Right_future_WMSA,200,121,255,255
aparc+aseg,88,future_WMSA,200,122,255,255
aparc+aseg,96,Left-Amygdala-Anterior,205,10,125,255
