Mask,Index,Name
aparc+aseg,53,Right-Hippocampus
aparc+aseg,17,Left-Hippocampus
aparc+aseg,54,Right-Amygdala
aparc+aseg,18,Left-Amygdala
aparc+aseg,1001,ctx-lh-bankssts
aparc+aseg,1002,ctx-lh-caudalanteriorcingulate
aparc+aseg,1003,ctx-lh-caudalmiddlefrontal
aparc+aseg,1005,ctx-lh-cuneus
aparc+aseg,1006,ctx-lh-entorhinal
aparc+aseg,1007,ctx-lh-fusiform
aparc+aseg,1008,ctx-lh-inferiorparietal
aparc+aseg,1009,ctx-lh-inferiortemporal
aparc+aseg,1010,ctx-lh-isthmuscingulate
aparc+aseg,1011,ctx-lh-lateraloccipital
aparc+aseg,1012,ctx-lh-lateralorbitofrontal
aparc+aseg,1013,ctx-lh-lingual
aparc+aseg,1014,ctx-lh-medialorbitofrontal
aparc+aseg,1015,ctx-lh-middletemporal
aparc+aseg,1016,ctx-lh-parahippocampal
aparc+aseg,1017,ctx-lh-paracentral
aparc+aseg,1018,ctx-lh-parsopercularis
aparc+aseg,1019,ctx-lh-parsorbitalis
aparc+aseg,1020,ctx-lh-parstriangularis
aparc+aseg,1021,ctx-lh-pericalcarine
aparc+aseg,1022,ctx-lh-postcentral
aparc+aseg,1023,ctx-lh-posteriorcingulate
aparc+aseg,1024,ctx-lh-precentral
aparc+aseg,1025,ctx-lh-precuneus
aparc+aseg,1026,ctx-lh-rostralanteriorcingulate
aparc+aseg,1027,ctx-lh-rostralmiddlefrontal
aparc+aseg,1028,ctx-lh-superiorfrontal
aparc+aseg,1029,ctx-lh-superiorparietal
aparc+aseg,1030,ctx-lh-superiortemporal
aparc+aseg,1031,ctx-lh-supramarginal
aparc+aseg,1032,ctx-lh-frontalpole
aparc+aseg,1033,ctx-lh-temporalpole
aparc+aseg,1034,ctx-lh-transversetemporal
aparc+aseg,1035,ctx-lh-insula
aparc+aseg,2001,ctx-rh-bankssts
aparc+aseg,2002,ctx-rh-caudalanteriorcingulate
aparc+aseg,2003,ctx-rh-caudalmiddlefrontal
aparc+aseg,2005,ctx-rh-cuneus
aparc+aseg,2006,ctx-rh-entorhinal
aparc+aseg,2007,ctx-rh-fusiform
aparc+aseg,2008,ctx-rh-inferiorparietal
aparc+aseg,2009,ctx-rh-inferiortemporal
aparc+aseg,2010,ctx-rh-isthmuscingulate
aparc+aseg,2011,ctx-rh-lateraloccipital
aparc+aseg,2012,ctx-rh-lateralorbitofrontal
aparc+aseg,2013,ctx-rh-lingual
aparc+aseg,2014,ctx-rh-medialorbitofrontal
aparc+aseg,2015,ctx-rh-middletemporal
aparc+aseg,2016,ctx-rh-parahippocampal
aparc+aseg,2017,ctx-rh-paracentral
aparc+aseg,2018,ctx-rh-parsopercularis
aparc+aseg,2019,ctx-rh-parsorbitalis
aparc+aseg,2020,ctx-rh-parstriangularis
aparc+aseg,2021,ctx-rh-pericalcarine
aparc+aseg,2022,ctx-rh-postcentral
aparc+aseg,2023,ctx-rh-posteriorcingulate
aparc+aseg,2024,ctx-rh-precentral
aparc+aseg,2025,ctx-rh-precuneus
aparc+aseg,2026,ctx-rh-rostralanteriorcingulate
aparc+aseg,2027,ctx-rh-rostralmiddlefrontal
aparc+aseg,2028,ctx-rh-superiorfrontal
aparc+aseg,2029,ctx-rh-superiorparietal
aparc+aseg,2030,ctx-rh-superiortemporal
aparc+aseg,2031,ctx-rh-supramarginal
aparc+aseg,2032,ctx-rh-frontalpole
aparc+aseg,2033,ctx-rh-temporalpole
aparc+aseg,2034,ctx-rh-transversetemporal
aparc+aseg,2035,ctx-rh-insula
